full_team_picks,team_picks,full_opponent_picks,opponent_picks,picked_hero,win,match_id,start_time
"Morphling,Lina,Vengeful Spirit,Faceless Void,Ancient Apparition","Morphling,Lina,Vengeful Spirit","Winter Wyvern,Weaver,Lich,Pugna","Winter Wyvern,Weaver",Faceless Void,1,8420055989,1755373268
"Huskar,Lion,Slark,Vengeful Spirit","Huskar,Lion","Luna,Tiny,Invoker,Juggernaut,Hoodwink","Luna,Tiny",Slark,1,8420160603,1755378843
"Ogre Magi,Witch Doctor,Undying,Riki,Sniper","Ogre Magi,Witch Doctor,Undying,Riki","Juggernaut,Templar Assassin,Skywrath Mage,Chaos Knight","Juggernaut,Templar Assassin,Skywrath Mage,Chaos Knight",Sniper,0,8420673755,1755417848
"Viper,Windranger,Vengeful Spirit,Drow Ranger,Sand King","Viper,Windranger,Vengeful Spirit","Spirit Breaker,Ogre Magi,Ursa,Nyx Assassin","Spirit Breaker,Ogre Magi",Drow Ranger,1,8420746418,1755421663
"Troll Warlord,Anti-Mage,Nature's Prophet,Pangolier,Silencer","Troll Warlord,Anti-Mage,Nature's Prophet,Pangolier","Razor,Lina,Drow Ranger,Slark,Bristleback","Razor,Lina,Drow Ranger,Slark",Silencer,0,8420914562,1755430118
"Pudge,Phantom Assassin,Earthshaker,Necrophos,Wraith King","Pudge,Phantom Assassin,Earthshaker,Necrophos","Legion Commander,Nature's Prophet,Shadow Fiend,Undying,Vengeful Spirit","Legion Commander,Nature's Prophet,Shadow Fiend,Undying",Wraith King,1,8420991759,1755433429
"Wraith King,Kunkka,Necrophos,Viper,Earthshaker,Huskar",,"Rubick,Faceless Void,Shadow Shaman,Undying,Dragon Knight",,Wraith King,0,8421270733,1755443828
"Medusa,Wraith King,Juggernaut,Spectre,Skywrath Mage","Medusa,Wraith King,Juggernaut","Jakiro,Dragon Knight,Sniper,Shadow Shaman,Marci","Jakiro,Dragon Knight",Spectre,1,8421449700,1755451439
"Snapfire,Drow Ranger,Juggernaut,Kunkka,Axe",Snapfire,"Witch Doctor,Storm Spirit,Hoodwink,Riki",,Drow Ranger,0,8421551643,1755456084
"Wraith King,Pugna,Lion,Slark,Drow Ranger","Wraith King,Pugna,Lion","Nature's Prophet,Pudge,Undying,Phantom Assassin,Necrophos","Nature's Prophet,Pudge",Slark,1,8421694635,1755463304
"Phantom Lancer,Wraith King,Sniper,Bane,Lich",Phantom Lancer,"Silencer,Nature's Prophet,Necrophos,Legion Commander,Tiny",,Wraith King,1,8421765140,1755467869
"Drow Ranger,Monkey King,Windranger,Juggernaut,Underlord","Drow Ranger,Monkey King,Windranger","Legion Commander,Nature's Prophet,Templar Assassin,Lycan,Necrophos","Legion Commander,Nature's Prophet",Juggernaut,1,8421810828,1755471658
"Disruptor,Sniper,Enchantress,Legion Commander,Wraith King","Disruptor,Sniper,Enchantress,Legion Commander","Faceless Void,Bounty Hunter,Invoker,Skywrath Mage,Earthshaker","Faceless Void,Bounty Hunter,Invoker,Skywrath Mage",Wraith King,1,8421847579,1755475279
"Clockwerk,Warlock,Sniper,Spectre,Death Prophet","Clockwerk,Warlock,Sniper","Wraith King,Lion,Legion Commander,Nature's Prophet,Muerta","Wraith King,Lion",Spectre,1,8422698860,1755532459
"Night Stalker,Spirit Breaker,Spectre,Tidehunter,Queen of Pain","Night Stalker,Spirit Breaker","Pudge,Sniper,Shadow Shaman,Venomancer,Witch Doctor,Timbersaw","Pudge,Sniper",Spectre,0,8422798377,1755536894
"Hoodwink,Viper,Wraith King,Slark","Hoodwink,Viper","Windranger,Sniper,Warlock,Necrophos,Razor,Beastmaster",Windranger,Wraith King,0,8422912762,1755542318
"Wraith King,Sand King,Sniper,Skywrath Mage,Dawnbreaker",,"Witch Doctor,Zeus,Slark,Juggernaut,Dark Willow",,Wraith King,1,8422953801,1755544355
