team_picks,opponent_picks,picked_hero,win,match_id,start_time,patch_id
"[67, 82, 62, 93, 88]","[5, 74, 95, 98, 6]",62,0,2751424843,1478094139,18
"[44, 14, 63, 18, 25]","[70, 104, 8, 99, 74]",63,1,2765248839,1478621977,18
"[75, 20, 71, 44, 49]","[84, 6, 86, 16, 9]",75,0,2765647453,1478638609,18
"[93, 36, 14, 4, 3]","[96, 8, 31, 42, 19]",36,0,2766829212,1478697131,18
"[86, 12, 21, 54, 71]","[14, 105, 8, 17, 65]",71,1,2766945236,1478700187,18
"[93, 6, 86, 7, 27]","[85, 69, 32, 18, 88]",6,1,2767067390,1478703466,18
"[44, 15, 22, 41, 101]","[60, 4, 97, 109, 53]",22,1,2767257574,1478709415,18
"[71, 19, 101, 56, 18]","[47, 50, 22, 98, 59]",71,1,2767411030,1478715084,18
"[41, 62, 21, 73, 22]","[18, 84, 59, 89, 44]",62,1,2767561239,1478721640,18
"[18, 25, 104, 44, 57]","[22, 61, 12, 59, 6]",25,1,2769000776,1478788222,18
"[96, 61, 17, 23, 60]","[20, 19, 28, 13, 15]",61,0,2769101004,1478790937,18
"[36, 44, 23, 72, 81]","[6, 12, 95, 28, 32]",44,0,2769276140,1478796405,18
"[89, 51, 93, 26, 70]","[54, 56, 4, 11, 76]",89,1,2769421994,1478802544,18
"[83, 27, 109, 12, 71]","[22, 2, 80, 106, 110]",12,1,2769484321,1478805072,18
"[84, 65, 41, 19, 62]","[4, 34, 64, 67, 28]",62,1,2770431957,1478855533,18
"[4, 5, 44, 70, 104]","[2, 14, 28, 58, 84]",104,1,2770836116,1478868283,18
"[44, 66, 12, 42, 8]","[105, 5, 6, 9, 83]",42,1,2772828052,1478940601,18
"[16, 98, 37, 1, 93]","[28, 32, 58, 13, 43]",16,0,2773111243,1478948728,18
"[8, 75, 5, 18, 4]","[99, 2, 84, 56, 10]",8,1,2773624512,1478961103,18
"[30, 8, 46, 12, 3]","[19, 103, 39, 11, 15]",30,0,2774203832,1478975437,18
"[15, 74, 2, 53, 46]","[63, 22, 42, 6, 73]",15,0,2774259922,1478977198,18
"[69, 15, 18, 20, 8]","[48, 32, 63, 97, 47]",15,0,2774428095,1478983073,18
"[53, 93, 40, 19, 70]","[18, 88, 29, 4, 44]",19,0,2774447266,1478983846,18
"[10, 14, 20, 73, 1]","[11, 31, 17, 22, 6]",1,1,2774528813,1478987385,18
"[97, 76, 34, 85, 8]","[90, 35, 60, 11, 29]",76,0,2775591466,1479028816,18
"[104, 60, 36, 86, 27]","[4, 42, 63, 18, 21]",27,0,2775687968,1479031513,18
