hero_id_1,hero_id_2,score
106,111,-0.1740303922902025
65,93,-0.168972486623362
50,95,-0.1657721414528766
8,92,-0.16184660907584708
60,81,-0.15488936344923815
6,80,-0.15016860340109417
47,82,-0.1495873857858097
59,61,-0.1491946623228807
4,112,-0.14673474812620652
91,95,-0.14620820752880903
69,75,-0.14611752063447286
76,113,-0.14306855188386902
65,128,-0.14075311609277374
10,76,-0.13840851408398352
50,102,-0.1383512308080771
69,94,-0.13810169354604585
10,91,-0.13786525694187868
50,51,-0.13317691821858763
95,112,-0.1327079346900546
72,102,-0.13222879445098717
23,102,-0.1310643875779841
97,103,-0.1309410035527941
34,52,-0.12927452619310403
4,42,-0.12916889438985213
38,50,-0.12895797837278294
33,94,-0.1286784819906261
43,111,-0.1285961701484899
32,51,-0.1284539906242912
43,81,-0.12787662996889082
87,113,-0.1276205330784424
100,102,-0.12733574982315576
13,95,-0.1270941468626846
29,51,-0.12695654259753675
63,126,-0.12554721040731254
99,111,-0.12550138009236328
90,102,-0.12509804098143684
21,82,-0.12499380142910493
52,135,-0.12447044465036072
34,82,-0.12427217049431533
59,107,-0.12401009534355023
9,113,-0.12384968934330048
96,107,-0.1231633824403941
29,111,-0.12268842098775645
89,104,-0.12256847305641494
38,60,-0.1220761347651233
25,113,-0.12206513246644202
33,111,-0.12156193593470527
19,43,-0.12096382386776844
1,82,-0.11980408517843444
55,135,-0.11970308504791255
10,87,-0.11885193327525811
48,82,-0.11871920460514601
61,68,-0.11832541346231479
17,82,-0.11775149606238683
15,102,-0.11753195956578044
63,82,-0.11713719023625091
32,135,-0.11651623100776576
71,80,-0.11650972675605986
15,76,-0.11564143817680161
81,95,-0.11535266708696534
60,111,-0.11502987882850102
12,112,-0.11501919990497811
37,57,-0.11453051720268198
31,77,-0.1137842909731882
25,51,-0.1137497384577803
19,59,-0.11370593696713449
22,82,-0.11334739869404625
25,56,-0.11322400607780198
10,36,-0.11297833048853334
77,135,-0.11286939902067816
64,80,-0.11261507005662241
58,67,-0.11246445963100932
3,37,-0.11212912307856848
62,83,-0.11205731810145447
80,94,-0.11194034220946458
19,54,-0.11135133434492867
19,36,-0.111348778190272
105,126,-0.11114335885036147
56,62,-0.11083712666287909
4,94,-0.1104661410023905
19,31,-0.11036397412584104
46,102,-0.11019316235224746
1,78,-0.1101579765219739
13,61,-0.11015645274870361
90,136,-0.1101222286701109
37,77,-0.10982136930837638
41,111,-0.10960430078198574
7,78,-0.1093971115290936
22,78,-0.10930516610558311
83,135,-0.10910418755039158
23,42,-0.10895827304854444
6,107,-0.10879998749242453
106,126,-0.10838428415634055
10,52,-0.1081604860644847
89,128,-0.10814790898030063
13,138,-0.10806191350447181
98,102,-0.10778143153591407
4,54,-0.10772977329223254
35,126,-0.10743725515121832
18,92,-0.1072692715305883
54,80,-0.10721429808774402
41,42,-0.10690471937347534
97,126,-0.106558754204366
120,136,-0.10593469635213015
100,135,-0.10563153838348543
17,102,-0.10504701764994384
49,57,-0.10471605925009764
52,79,-0.10464586320010871
17,126,-0.10423554296532378
69,95,-0.10409219708815781
10,98,-0.10408735940964453
99,121,-0.10376964652176307
58,81,-0.1037112994597223
72,136,-0.10368422270834915
13,102,-0.10356277292384553
20,82,-0.1034682765151515
89,93,-0.10333954360824293
18,20,-0.103058821437781
68,80,-0.10290615885133364
25,111,-0.10290592038466306
19,87,-0.10282423108897504
12,36,-0.10274025784297475
23,40,-0.10269847154412148
15,30,-0.10265247565991087
13,67,-0.10251536081257323
47,57,-0.10251385437672117
23,31,-0.10241227178513745
100,110,-0.10231246418112833
59,95,-0.10200900382498229
32,106,-0.10197220283386488
46,94,-0.10171608934926712
4,30,-0.10156382554900834
16,51,-0.10154411335470293
64,79,-0.10110107491952164
33,56,-0.10079009323285215
31,111,-0.10055676100370864
4,36,-0.10017771182801355
4,8,-0.10008145748325087
19,30,-0.1000536009723077
54,82,-0.10004949199928154
5,8,-0.10004001752428748
10,102,-0.09992649458273373
38,111,-0.09968995555394733
38,42,-0.0996798619291902
