hero_id_1,hero_id_2,score
23,56,-0.21545088950051394
45,107,-0.19511521968311252
70,89,-0.19060455826339712
38,82,-0.18940588871703007
32,106,-0.1868439977056598
10,46,-0.18248266204473151
25,107,-0.17244905539489086
43,111,-0.1723120171430254
41,55,-0.1652614368996776
60,109,-0.15762101224419894
21,65,-0.15721449770654405
89,135,-0.15601522528862427
47,100,-0.15541610562659702
46,56,-0.15533120418872776
84,91,-0.15362213500243
71,83,-0.15174602343956928
10,44,-0.15011787977287583
72,110,-0.14955338249116618
28,131,-0.1473000182558009
18,44,-0.14716404461374577
76,99,-0.1459636188735624
19,109,-0.1457623073826833
9,112,-0.14485681593806288
10,54,-0.14473106466800884
22,89,-0.143931035155073
69,114,-0.14364863042741388
43,99,-0.14148135344191454
114,137,-0.14129747880302357
56,100,-0.14128433021058534
16,108,-0.14107683029691653
53,145,-0.1410590706870984
120,129,-0.14043788012760577
99,104,-0.13925604450108753
44,65,-0.13726305353111606
48,72,-0.1365731734609174
34,57,-0.13622661675727227
1,109,-0.13613713812102646
105,110,-0.13454496348666523
41,131,-0.13414537142778454
106,112,-0.13343894156271474
41,44,-0.13321262191344085
23,129,-0.13154571456273023
43,81,-0.1312504491321837
18,138,-0.1300831162100377
46,68,-0.13001230124428065
12,18,-0.1294325100227467
19,86,-0.1276478624936353
109,119,-0.12717753161549117
91,114,-0.12605069301064076
71,79,-0.12554467384578183
10,114,-0.1255207774368493
69,136,-0.12493963810613151
13,19,-0.1246291728519675
19,100,-0.12396669048975811
56,121,-0.12380932447768411
43,47,-0.12320305979740337
44,91,-0.1226274791907579
39,80,-0.12213904055225966
18,94,-0.1220676847939875
20,55,-0.1217834417420815
79,95,-0.12092419608003807
61,95,-0.12086194746949291
32,114,-0.12045465005466466
64,65,-0.11994617963416965
32,48,-0.1198071252325702
32,83,-0.11976716073210536
35,38,-0.1194137036441455
7,66,-0.11905892725737749
34,99,-0.11885509819360868
48,106,-0.11847620324244279
100,119,-0.11716223143246007
58,99,-0.11716007559370012
15,34,-0.11703219599612635
43,72,-0.11699723355419506
93,113,-0.11689125475312184
13,32,-0.11653451871972131
46,113,-0.11621056180721578
108,114,-0.11566574930219714
17,138,-0.11555015096022658
44,46,-0.11546709370985003
40,58,-0.11457467279503403
45,99,-0.11408624794617672
100,105,-0.11322371715547613
11,145,-0.11319929685343916
8,44,-0.11244758208934241
65,85,-0.11200180141395832
84,131,-0.11184823518621523
79,105,-0.11144325649430487
25,137,-0.11097790343410141
8,10,-0.11070108478715834
91,96,-0.11036448949241257
27,89,-0.11028292783856009
32,100,-0.10993983296768134
19,99,-0.10947239246817925
47,48,-0.10925639526004932
83,109,-0.10912392805842092
33,73,-0.10891972165683411
12,72,-0.10844951938736952
83,129,-0.10805458267769824
35,65,-0.10687750076699598
32,93,-0.10683646166127586
39,106,-0.10666237549385649
41,121,-0.1065521270556013
4,34,-0.10643188734052733
38,88,-0.10637797235183416
22,55,-0.10627960920007562
21,131,-0.10618319632445722
37,73,-0.10613751123444004
62,138,-0.105877770904165
18,65,-0.10570855860425099
114,138,-0.10555168657978858
58,72,-0.10548259351261835
31,83,-0.10531943132499255
101,138,-0.10510782345765485
40,55,-0.10488350206806851
96,121,-0.10438278200101869
76,91,-0.10412334881236396
4,86,-0.10407952486908678
12,98,-0.10345743483065561
6,114,-0.10289002718041046
23,121,-0.1026919295660077
3,101,-0.10269122429899602
28,62,-0.1024639720197259
23,52,-0.10224488706127693
25,126,-0.1019809935054814
31,90,-0.10190744048469491
43,85,-0.10181372890736018
46,63,-0.10172987027177038
32,62,-0.10172085455430774
25,138,-0.10163621785690852
15,69,-0.10104290535548732
135,138,-0.10101410273230871
93,138,-0.1009148768541896
23,119,-0.10076321594628762
53,89,-0.10075194783795871
4,105,-0.10074768580640575
69,126,-0.10061966940180872
48,121,-0.10054205667421418
3,93,-0.10050134307262498
110,128,-0.1004925862647329
129,145,-0.1003897518603401
67,83,-0.10033811798265257
32,88,-0.10006865177440494
25,93,-0.09999663795606234
48,137,-0.09994117876421293
32,38,-0.09989401861302677
44,80,-0.09976849617483224
34,107,-0.09967728746569737
53,91,-0.0991653806938671
86,114,-0.09912418396165329
4,136,-0.0990885318761271
62,98,-0.0990213118545189
47,69,-0.09878163453592959
48,61,-0.09860062389184054
32,69,-0.09854699895962449
111,120,-0.09845581790354263
40,57,-0.0983250020147785
29,110,-0.09798870052624103
51,100,-0.09775272272484054
5,29,-0.09754262846276962
53,65,-0.09735777761543812
50,111,-0.0968808245808353
69,106,-0.09685658334194963
58,62,-0.096800361115702
25,34,-0.09674900935072461
25,123,-0.09633779131909592
55,84,-0.0961311548320195
100,136,-0.09581862441879252
33,34,-0.0955759151840167
11,137,-0.09541236617254778
83,128,-0.09537011203187679
6,94,-0.09532964751511125
58,59,-0.09498376411486592
45,73,-0.09483579218857568
79,98,-0.09425366979209465
10,52,-0.09370265473918349
21,80,-0.0935791024890113
57,87,-0.09334166408634498
63,83,-0.09317744726754812
69,112,-0.09314285494802638
47,126,-0.0929497395670536
48,69,-0.09289981721702023
